194.32.142.178:443#KZ [216.41ms 5.68Mbps]
91.200.148.120:443#KZ [217.07ms 5.94Mbps]
85.217.170.56:2053#BG [217.89ms 0.3Mbps]
64.176.170.68:8443#IL [219.0ms 5.02Mbps]
91.229.239.172:443#MD [219.22ms 5.91Mbps]
85.120.229.131:443#RO [219.23ms 7.43Mbps]
90.156.230.94:8443#KZ [219.25ms 6.09Mbps]
217.72.207.16:8443#ES [220.0ms 7.28Mbps]
5.181.2.248:8443#HR [220.28ms 9.47Mbps]
216.238.88.154:8443#MX [220.83ms 6.78Mbps]
216.238.79.83:8443#MX [221.1ms 7.0Mbps]
46.8.254.68:443#KZ [221.55ms 6.69Mbps]
185.253.8.64:2053#KZ [222.75ms 5.78Mbps]
45.89.107.78:2053#MY [224.9ms 5.93Mbps]
141.98.115.64:8443#TR [227.66ms 0.7Mbps]
31.57.190.77:443#ES [227.71ms 0.17Mbps]
38.180.109.174:443#HU [228.59ms 6.53Mbps]
94.156.35.128:2053#BG [228.8ms 5.31Mbps]
192.9.175.224:443#AU [229.39ms 0.04Mbps]
157.22.128.7:443#UZ [229.7ms 5.58Mbps]
185.141.61.113:2053#BG [230.1ms 6.15Mbps]
45.67.34.89:443#RO [230.93ms 7.5Mbps]
109.89.106.12:443#BE [231.05ms 1.89Mbps]
31.57.190.5:443#ES [231.57ms 5.22Mbps]
107.161.174.99:443#TR [231.67ms 3.58Mbps]
209.38.22.182:443#AU [231.71ms 1.77Mbps]
31.57.190.13:443#ES [232.25ms 6.6Mbps]
159.54.134.203:443#MX [232.91ms 6.26Mbps]
194.48.248.157:443#MD [233.44ms 0.11Mbps]
80.96.109.157:8443#MD [233.92ms 6.51Mbps]
85.90.196.11:443#RO [233.98ms 8.37Mbps]
212.192.6.118:443#TR [234.79ms 0.21Mbps]
38.180.113.22:443#TR [234.85ms 0.29Mbps]
170.64.229.30:443#AU [234.96ms 2.94Mbps]
31.57.190.81:443#ES [235.13ms 0.9Mbps]
170.64.232.210:443#AU [235.43ms 0.59Mbps]
113.30.151.151:8443#IT [235.71ms 5.24Mbps]
2.56.176.32:8443#CZ [235.86ms 0.82Mbps]
54.229.164.147:8443#IE [236.74ms 0.49Mbps]
185.234.66.91:443#TR [236.82ms 6.98Mbps]
171.22.127.164:443#CZ [236.86ms 7.66Mbps]
34.240.243.226:443#IE [236.98ms 0.5Mbps]
166.88.234.116:443#MD [237.05ms 1.67Mbps]
34.250.168.254:443#IE [237.14ms 6.17Mbps]
54.229.164.147:2053#IE [237.16ms 4.38Mbps]
52.19.138.237:8443#IE [237.25ms 3.45Mbps]
63.32.194.15:8443#IE [237.27ms 4.06Mbps]
52.19.138.237:2053#IE [237.31ms 2.09Mbps]
185.253.46.27:443#CZ [237.58ms 0.4Mbps]
185.206.146.190:8443#BG [238.59ms 1.22Mbps]
141.98.115.65:8443#TR [238.59ms 0.44Mbps]
45.89.52.85:443#TR [239.86ms 0.16Mbps]
195.16.74.73:443#TR [240.59ms 6.54Mbps]
185.239.48.252:443#IL [240.66ms 6.4Mbps]
45.150.195.19:8443#ES [240.66ms 4.72Mbps]
43.229.148.43:443#TH [241.39ms 6.18Mbps]
45.89.105.211:443#IN [241.62ms 0.0Mbps]
185.239.48.207:443#IL [242.11ms 4.14Mbps]
45.150.195.226:443#ES [242.41ms 3.62Mbps]
185.86.77.181:8443#UA [242.55ms 6.64Mbps]
89.185.82.124:8443#MK [242.56ms 5.53Mbps]
185.203.119.101:443#BG [243.64ms 6.61Mbps]
67.219.111.171:8443#AU [243.71ms 1.94Mbps]
91.210.166.102:443#BG [243.73ms 5.43Mbps]
132.243.205.75:8443#IT [243.91ms 0.44Mbps]
141.98.233.190:8443#BE [244.43ms 3.27Mbps]
5.35.103.185:8443#SK [244.54ms 1.8Mbps]
152.89.28.215:443#BG [244.82ms 7.8Mbps]
2.56.176.32:443#CZ [244.98ms 0.99Mbps]
43.229.148.110:443#TH [245.02ms 5.36Mbps]
139.185.38.137:2053#AE [245.24ms 5.24Mbps]
45.91.134.91:2053#TH [246.16ms 5.57Mbps]
45.83.141.93:443#MK [246.39ms 2.84Mbps]
77.91.69.141:8443#IL [246.64ms 0.22Mbps]
45.150.131.246:443#TH [246.77ms 0.19Mbps]
45.129.141.188:443#SK [247.89ms 7.5Mbps]
188.190.26.243:443#BE [247.89ms 2.74Mbps]
194.87.240.67:443#BE [248.37ms 3.92Mbps]
194.247.182.120:8443#IS [248.64ms 0.14Mbps]
185.138.89.45:2053#PT [249.5ms 5.36Mbps]
130.94.116.44:443#EC [250.56ms 5.57Mbps]
92.61.71.112:443#CZ [250.83ms 0.81Mbps]
176.123.2.196:443#MD [251.13ms 5.62Mbps]
85.137.165.154:443#CZ [251.48ms 5.61Mbps]
194.58.66.220:443#SI [251.59ms 6.56Mbps]
193.124.58.154:8443#CZ [252.71ms 0.37Mbps]
38.79.154.92:443#RO [252.77ms 0.0Mbps]
147.78.0.186:8443#AE [252.92ms 6.44Mbps]
176.97.66.175:443#AE [253.02ms 1.37Mbps]
91.238.105.102:443#UA [253.43ms 4.74Mbps]
91.132.132.243:8443#AM [254.02ms 7.45Mbps]
23.27.28.216:8443#MY [254.03ms 2.09Mbps]
185.39.30.18:8443#RO [254.3ms 0.0Mbps]
91.225.218.230:443#IL [254.45ms 0.34Mbps]
194.58.45.120:2053#MD [255.43ms 4.82Mbps]
131.196.253.141:443#MX [255.63ms 6.09Mbps]
94.131.114.83:443#IL [255.81ms 0.57Mbps]
143.110.247.34:443#IN [255.86ms 0.0Mbps]
85.90.196.38:443#RO [256.53ms 0.0Mbps]
194.87.73.58:8443#BE [256.7ms 0.94Mbps]
147.78.0.186:2053#AE [258.59ms 6.7Mbps]
38.133.142.152:443#RO [259.53ms 0.43Mbps]
77.91.69.141:2053#IL [259.58ms 5.76Mbps]
89.185.82.90:8443#MK [262.07ms 3.83Mbps]
37.9.171.189:443#SK [262.08ms 5.85Mbps]
81.29.149.219:8443#NO [263.05ms 5.31Mbps]
91.132.132.233:443#AM [263.35ms 3.02Mbps]
185.225.17.13:443#RO [263.4ms 4.54Mbps]
31.129.22.199:8443#PT [263.42ms 5.43Mbps]
80.178.58.56:443#IL [263.87ms 0.16Mbps]
87.121.38.57:443#RS [264.44ms 8.52Mbps]
94.131.114.73:443#IL [265.85ms 5.34Mbps]
95.139.91.132:443#BE [266.52ms 0.42Mbps]
89.185.81.48:443#NO [266.75ms 5.43Mbps]
194.5.98.17:443#NO [267.89ms 2.02Mbps]
45.83.20.29:443#BE [268.02ms 7.55Mbps]
144.31.217.98:443#NO [268.27ms 3.86Mbps]
217.156.67.40:443#MD [268.46ms 6.67Mbps]
